text,translated
Let's go and relax,가서 쉬자
"Yeah, I did it because I got hurt while doing rehabilitation exercises","네, 재활 운동을 하다가 다쳐서 그랬어요"
"They do it in Jinju, too?",진주에서도 해요?
Then I'll tell you how it is when I get back tomorrow,그럼 내일 돌아가면 어떤지 말해줄게
I'm better now. You worry about me,이제 나아요. 너는 나를 걱정한다
"I didn't wear an Apple Watch, but it feels so empty.",애플워치를 안 꼈는데 너무 허전하네요.
You two are guardians of each other,너희 둘은 서로의 수호자야
I don't want to live like that. How hard would it be to be sick when you're old?,나는 그렇게 살고 싶지 않다. 늙어서 아프면 얼마나 힘들겠어요?
Can I have one too? Kiki.,저도 하나 주시겠어요? 키키.
"I can mix it in cold water, right?",차가운 물에 섞으면 되는 거죠?
I bought vitamins and supplements like Zinc yesterday. LOL,나는 어제 아연과 같은 비타민과 보충제를 샀다. ㅋㅋㅋ
"I'm scared that if I remove this, the hair on that side will be gone",이거 떼면 머리가 빠질까 봐
Oh really? The effect is good?,"오, 정말이요? 효과가 좋아요?"
I need to get a comprehensive check-up on Kiki,키키에 대한 종합 검진을 받아야 해요
I'm trying to figure out the motor skills that fit your age,네 나이에 맞는 운동 능력을 찾고 있어
They even give discounts,그들은 심지어 할인도 해준다
So what's the problem?,그래서 뭐가 문제야?
"Eyeshadow is quite expensive, too",아이섀도도 꽤 비싸다
Yeah... I'm so sorry,"그래, 정말 미안해"
"Yes, you can order it as soon as you get off the subway","네, 지하철에서 내리자마자 주문하실 수 있습니다"
You said it tastes like mango. I'm curious,망고 맛이 난다고 했잖아요. 궁금해요
I almost fell for it while watching home shopping,홈쇼핑 보다가 속을 뻔 했어요
"That's right. I used rocket delivery, too, and it was really fast!",맞아요. 나도 로켓배송을 이용했는데 정말 빨랐어!
Already? I was here this time. They changed my coffin,벌써요? 나는 이번에 여기에 있었다. 그들은 내 관을 바꾸었다
"Of course, it's up to the seller, but it's hard to find a pretty case for Galaxy.",물론 판매자의 몫이지만 갤럭시의 예쁜 케이스를 찾기는 어렵다.
I think I need a card wallet these days,요즘 카드 지갑이 필요한 것 같아요
I got a hot deal package for sanitary pads yesterday. Kiki packaging is so luxurious,나는 어제 생리대 핫딜 패키지를 받았다. 키키 포장이 너무 고급스러워요
"Oh, desk kiki. How much money did you get?","오, 책상 키키. 당신은 돈을 얼마나 받았습니까?"
"Oh... That's right. Kiki, send me a link to the order","아... 맞아요. 키키, 주문에 대한 링크를 보내줘"
Until when should I buy a mask?,제가 언제까지 마스크를 사야 하나요?
Do you remember all the items in the app?,당신은 앱에 있는 모든 항목을 기억하나요?
I heard that they do a lot of phone techniques like this,그들은 이런 전화 기술을 많이 한다고 들었어요
"Oh, I should go in","아, 들어가 봐야겠다"
Where do you buy things these days?,당신은 요즘 어디서 물건을 사나요?
I took out one or two winter clothes,나는 겨울옷 한두벌을 꺼냈다
It's frustrating not to travel,여행을 가지 않는 것은 답답하다
That's what I thought But I changed my mind,나도 그렇게 생각했는데 마음이 바뀌었어요
I don't like silence,나는 침묵을 좋아하지 않는다
Which season do you like to travel?,당신은 어느 계절에 여행하는 것을 좋아하나요?
The soy sauce marinated crab I ate before I went to Oedo Island was delicious.,외도에 가기 전에 먹었던 간장게장이 맛있었다.
I should leave a lot of data with pictures so that I can remember them.,나는 기억할 수 있도록 많은 자료를 사진과 함께 남겨야 한다.
I'll introduce you to a huge park in Ulsan. You'll be surprised,울산에 있는 큰 공원을 소개해 줄게요. 놀랄 거야
"I really want to go to America, too",나도 미국에 정말 가고 싶어
Let's go play when we get older,나중에 나이가 들면 놀러 가자
Is it because I went to Jeju Island for my honeymoon?,제가 신혼여행으로 제주도에 갔기 때문인가요?
You all have deep memories of the island.,여러분은 모두 그 섬에 대한 깊은 기억을 가지고 있습니다.
I want to eat foreign foodkk,나는 외국 음식을 먹고 싶다
Eating or buying something haha,먹거나 무언가를 사는 것 하하
They must have loved this trip,그들은 이 여행을 좋아했을 것이다
"Oh, that's true. Kiki","오, 그건 사실이야. 키키."
Or lie down on the electric pad,아니면 전기장판 위에 눕는다
Let's save money and go there,돈 모아서 거기 가자
"But if you need to go with me, you can decide. ....",하지만 나랑 같이 갈 일이 있으면 결정해도 돼...
It was really delicious.,꿀맛이었지요.
one's wife's family,처가
